name;mix_name;isrc;artists;composer;remixers
Talk To Me;Original Mix;UACT10700001;Sergio Mega;LAZAREV SERGIY GEORGIEVYCH;
Satisfied;Original Mix;UACT10700002;Sergio Mega;LAZAREV SERGIY GEORGIEVYCH;
Synthetic People;Original Mix;UACT10700003;Sergio Mega feat. Elvira Solovey;LAZAREV SERGIY GEORGIEVYCH;
Everything's Gonna Be OK;Bastard Mix;UACT10700010;Sergio Mega;LAZAREV SERGIY GEORGIEVYCH;
Radiance;Original Mix;UACT10700004;Sergio Mega;LAZAREV SERGIY GEORGIEVYCH;
In My Heart;Original Mix;UACT10700005;Sergio Mega;LAZAREV SERGIY GEORGIEVYCH;
Superstar;Original Mix;UACT10700006;Sergio Mega;LAZAREV SERGIY GEORGIEVYCH;
Bastard World;Original Mix;UACT10700007;Sergio Mega;LAZAREV SERGIY GEORGIEVYCH;
Party Moods;Original Mix;UACT10700008;Sergio Mega feat. Lutz Ebmeier;LAZAREV SERGIY GEORGIEVYCH;
Trust Me;Original Radio Mix;UACT10700074;Sergio Mega feat. Storm Tarrion;LAZAREV SERGIY GEORGIEVYCH;
I'm Your Ecstasy;Original Mix;UACT10700011;Sergio Mega;LAZAREV SERGIY GEORGIEVYCH;
Synthetic People;Niels Von Geyer's Berlin Phenomena Remix;UACT10700012;Sergio Mega feat. Elvira Solovey;LAZAREV SERGIY GEORGIEVYCH;Niels Von Geyer
Synthetic People;Original Mix;UACT10700003;Sergio Mega feat. Elvira Solovey;LAZAREV SERGIY GEORGIEVYCH;
Synthetic People;Radio Cut;UACT10700075;Sergio Mega feat. Elvira Solovey;LAZAREV SERGIY GEORGIEVYCH;
Synthetic People;Niels Von Geyer's Berlin Phenomena Remix;UACT10700012;Sergio Mega feat. Elvira Solovey;LAZAREV SERGIY GEORGIEVYCH;Niels Von Geyer
Synthetic People;Sambooca Mix;UACT10700099;Sergio Mega feat. Elvira Solovey;LAZAREV SERGIY GEORGIEVYCH;Sambooca
Synthetic People;Sambooca Radio Edit;UACT10700102;Sergio Mega feat. Elvira Solovey;LAZAREV SERGIY GEORGIEVYCH;Sambooca
